Species,Code,Replicate,psi_s_MPa,Group
Acacia exuvialis,Acaexu,1,-1.902308819,Acacia
Acacia exuvialis,Acaexu,2,-2.031908819,Acacia
Acacia exuvialis,Acaexu,3,-2.269508819,Acacia
Acacia exuvialis,Acaexu,4,-2.418308819,Acacia
Acacia gerardii,Acager,1,-1.490382617,Acacia
Acacia gerardii,Acager,2,-1.888782617,Acacia
Acacia gerardii,Acager,3,-1.646382617,Acacia
Acacia gerardii,Acager,4,-1.991982617,Acacia
Acacia gerardii,Acager,5,-1.295982617,Acacia
Acacia leuderitzii,Acaleu,1,-3.052782617,Acacia
Acacia leuderitzii,Acaleu,2,-4.478382617,Acacia
Acacia leuderitzii,Acaleu,3,-4.840782617,Acacia
Acacia leuderitzii,Acaleu,4,-3.748782617,Acacia
Acacia nigrescens,Acanig,1,-1.397633386,Acacia
Acacia nigrescens,Acanig,2,-1.373633386,Acacia
Acacia nigrescens,Acanig,3,-1.685633386,Acacia
Acacia nigrescens,Acanig,4,-1.853633386,Acacia
Acacia nigrescens,Acanig,5,-1.493633386,Acacia
Acacia nilotica,Acanil,1,-2.284782617,Acacia
Acacia nilotica,Acanil,2,-2.383182617,Acacia
Acacia nilotica,Acanil,3,-2.764782617,Acacia
Acacia nilotica,Acanil,4,-3.040782617,Acacia
Acacia nilotica,Acanil,5,-3.050382617,Acacia
Acacia tortilis,Acator,1,-4.485582617,Acacia
Acacia tortilis,Acator,2,-5.212782617,Acacia
Acacia tortilis,Acator,3,-4.310382617,Acacia
Acacia tortilis,Acator,4,-3.172782617,Acacia
Albizia harveyii,Albhar,1,-1.528287544,Tree
Albizia harveyii,Albhar,2,-1.595487544,Tree
Albizia harveyii,Albhar,3,-2.615487544,Tree
Albizia harveyii,Albhar,4,-2.034687544,Tree
Albizia harveyii,Albhar,5,-1.645887544,Tree
Albizia versicolor,Albver,1,-1.507573432,Tree
Aristida adscensionis,Ariads,1,-3.644033386,Grass
Aristida adscensionis,Ariads,2,-3.917633386,Grass
Aristida adscensionis,Ariads,3,-2.895233386,Grass
Aristida adscensionis,Ariads,4,-3.389633386,Grass
Aristida congesta,Aricon,1,-3.183233386,Grass
Aristida congesta,Aricon,2,-2.595233386,Grass
Aristida congesta,Aricon,3,-2.672033386,Grass
Aristida congesta,Aricon,4,-2.518433386,Grass
Aristida congesta,Aricon,5,-2.571233386,Grass
Bauhinia galpinii,Baugal,1,-1.478773432,Shrub
Bauhinia galpinii,Baugal,2,-1.236373432,Shrub
Bauhinia galpinii,Baugal,3,-1.400912711,Shrub
Bauhinia galpinii,Baugal,4,-1.148912711,Shrub
Bauhinia galpinii,Baugal,5,-1.187312711,Shrub
Brachiaria deflexa,Bradef,1,-1.689087544,Grass
Brachiaria deflexa,Bradef,2,-1.941087544,Grass
Brachiaria deflexa,Bradef,3,-2.193087544,Grass
Brachiaria deflexa,Bradef,4,-1.785087544,Grass
Brachiaria deflexa,Bradef,5,-1.785087544,Grass
Cenchrus ciliaris,Cencil,1,-1.559487344,Grass
Cenchrus ciliaris,Cencil,2,-1.948287344,Grass
Cenchrus ciliaris,Cencil,3,-1.595487344,Grass
Cenchrus ciliaris,Cencil,4,-1.960287344,Grass
Cenchrus ciliaris,Cencil,5,-2.195487344,Grass
Chloris virgata,Chlvir,1,-2.138382617,Grass
Chloris virgata,Chlvir,2,-1.888782617,Grass
Chloris virgata,Chlvir,3,-1.607982617,Grass
Chloris virgata,Chlvir,4,-2.603982617,Grass
Chloris virgata,Chlvir,5,-1.727982617,Grass
Cissus cornifolia,Ciscor,1,-0.777087344,Shrub
Cissus cornifolia,Ciscor,2,-0.789087344,Shrub
Cissus cornifolia,Ciscor,3,-0.661887344,Shrub
Cissus cornifolia,Ciscor,4,-0.849087344,Shrub
Cissus cornifolia,Ciscor,5,-0.801087344,Shrub
Colophospermum mopane,Colmop,1,-1.936287344,Tree
Colophospermum mopane,Colmop,2,-2.037087344,Tree
Colophospermum mopane,Colmop,3,-1.513887344,Tree
Colophospermum mopane,Colmop,4,-1.453887344,Tree
Colophospermum mopane,Colmop,5,-1.921887344,Tree
Combretum apiculatum,Comapi,1,-2.694687544,Tree
Combretum apiculatum,Comapi,2,-2.202687544,Tree
Combretum apiculatum,Comapi,3,-2.473887544,Tree
Combretum apiculatum,Comapi,4,-2.303487544,Tree
Combretum apiculatum,Comapi,5,-2.029887544,Tree
Combretum collinum,Comcol,1,-1.469633386,Tree
Combretum collinum,Comcol,2,-0.941633386,Tree
Combretum collinum,Comcol,3,-1.145633386,Tree
Combretum collinum,Comcol,4,-1.565633386,Tree
Combretum hereroense,Comher,1,-1.097633386,Tree
Combretum hereroense,Comher,2,-1.121633386,Tree
Combretum hereroense,Comher,3,-1.565633386,Tree
Combretum hereroense,Comher,4,-1.584833386,Tree
Combretum hereroense,Comher,5,-1.265633386,Tree
Combretum imberbe,Comimb,1,-0.755487344,Tree
Combretum imberbe,Comimb,2,-0.729087344,Tree
Combretum imberbe,Comimb,3,-1.228287344,Tree
Combretum imberbe,Comimb,4,-0.949887344,Tree
Combretum imberbe,Comimb,5,-1.449087344,Tree
Crotalaria natalitia,Cronat,1,-1.460708819,Shrub
Crotalaria natalitia,Cronat,2,-1.607108819,Shrub
Crotalaria natalitia,Cronat,3,-1.655108819,Shrub
Crotalaria natalitia,Cronat,4,-2.000708819,Shrub
Crotalaria natalitia,Cronat,5,-1.755908819,Shrub
Cynodon dactylon,Cyndac,1,-3.035982617,Grass
Cynodon dactylon,Cyndac,2,-2.671182617,Grass
Cynodon dactylon,Cyndac,3,-3.016782617,Grass
Cynodon dactylon,Cyndac,4,-2.534382617,Grass
Cynodon dactylon,Cyndac,5,-3.026382617,Grass
Dalbergia melonoxylon,Dalmel,1,-2.855487544,Tree
Dalbergia melonoxylon,Dalmel,2,-1.929087544,Tree
Dalbergia melonoxylon,Dalmel,3,-2.339487544,Tree
Dalbergia melonoxylon,Dalmel,4,-3.131487544,Tree
Dalbergia melonoxylon,Dalmel,5,-2.315487544,Tree
Dichrostachys cinerea,Diccin,1,-1.52443799,Tree
Dichrostachys cinerea,Diccin,2,-1.292082486,Tree
Dichrostachys cinerea,Diccin,3,-1.640615742,Tree
Dichrostachys cinerea,Diccin,4,-1.512820215,Tree
Dichrostachys cinerea,Diccin,5,-1.431495789,Tree
Digitaria eriantha,Digeri,1,-1.962308819,Grass
Digitaria eriantha,Digeri,2,-2.226308819,Grass
Digitaria eriantha,Digeri,3,-1.981508819,Grass
Digitaria eriantha,Digeri,4,-2.588708819,Grass
Diospyros mespiliformis,Diomes,1,-1.807573432,Tree
Diospyros mespiliformis,Diomes,2,-1.697173432,Tree
Diospyros mespiliformis,Diomes,3,-1.615573432,Tree
Diospyros mespiliformis,Diomes,4,-1.831573432,Tree
Diospyros mespiliformis,Diomes,5,-1.663573432,Tree
Eleusine africana,Eleafr,1,-1.637134386,Grass
Eleusine africana,Eleafr,2,-1.380334386,Grass
Eleusine africana,Eleafr,3,-1.106734386,Grass
Eleusine africana,Eleafr,4,-1.142734386,Grass
Eleusine africana,Eleafr,5,-1.454734386,Grass
Enneapogon cenchroides,Enncen,1,-2.260782617,Grass
Enneapogon cenchroides,Enncen,2,-1.879182617,Grass
Enneapogon cenchroides,Enncen,3,-2.615982617,Grass
