,ID,Day,Hour,Mass,deltaM,Time,GWC,SoilPsi,SoilPsi_VG
Acaexu1.1,Acaexu1,0,16,5948.441667,0,0.666666667,0.093012251,0.4161568,0.508584985
Acaexu1.2,Acaexu1,0,17,5943.4,5.041666667,0.708333333,0.09233833,0.41903254,0.510942131
Acaexu1.3,Acaexu1,0,18,5937.408333,5.991666667,0.75,0.091537424,0.422503748,0.5137745
Acaexu1.4,Acaexu1,0,19,5931.608333,5.8,0.791666667,0.090762137,0.42592071,0.516549123
Acaexu1.5,Acaexu1,0,20,5928.35,3.258333333,0.833333333,0.090326595,0.427865343,0.51812232
Acaexu1.6,Acaexu1,0,21,5928.266667,0.083333333,0.875,0.090315456,0.427915317,0.518162693
Acaexu1.7,Acaexu1,0,22,5928.108333,0.158333333,0.916666667,0.090294291,0.428010301,0.518239422
Acaexu1.8,Acaexu1,0,23,5927.975,0.133333333,0.958333333,0.090276469,0.428090321,0.518304055
Acaexu1.9,Acaexu1,1,0,5927.816667,0.158333333,1,0.090255304,0.428185386,0.518380829
Acaexu1.10,Acaexu1,1,1,5927.708333,0.108333333,1.041666667,0.090240823,0.428250454,0.518433374
Acaexu1.11,Acaexu1,1,2,5927.558333,0.15,1.083333333,0.090220773,0.428340583,0.518506147
Acaexu1.12,Acaexu1,1,3,5927.441667,0.116666667,1.125,0.090205178,0.428410711,0.518562764
Acaexu1.13,Acaexu1,1,4,5927.333333,0.108333333,1.166666667,0.090190697,0.42847585,0.518615349
Acaexu1.14,Acaexu1,1,5,5927.2,0.133333333,1.208333333,0.090172874,0.428556049,0.518680085
Acaexu1.15,Acaexu1,1,6,5927.066667,0.133333333,1.25,0.090155052,0.42863628,0.518744839
Acaexu1.16,Acaexu1,1,7,5926.925,0.141666667,1.291666667,0.090136115,0.428721558,0.518813659
Acaexu1.17,Acaexu1,1,8,5925.216667,1.708333333,1.333333333,0.089907762,0.42975267,0.51964514
Acaexu1.18,Acaexu1,1,9,5919.375,5.841666667,1.375,0.089126906,0.43331743,0.522510777
Acaexu1.19,Acaexu1,1,10,5912.841667,6.533333333,1.416666667,0.088253594,0.437376994,0.525757519
Acaexu1.20,Acaexu1,1,11,5906.091667,6.75,1.458333333,0.087351321,0.44165416,0.52915952
Acaexu1.21,Acaexu1,1,12,5899,7.091666667,1.5,0.086403377,0.446241474,0.532787297
Acaexu1.22,Acaexu1,1,13,5891.808333,7.191666667,1.541666667,0.085442066,0.450994641,0.536523957
Acaexu1.23,Acaexu1,1,14,5884.666667,7.141666667,1.583333333,0.084487439,0.455818933,0.540293918
Acaexu1.24,Acaexu1,1,15,5877.275,7.391666667,1.625,0.083499394,0.460925159,0.54426001
Acaexu1.25,Acaexu1,1,16,5869.958333,7.316666667,1.666666667,0.082521374,0.466096769,0.548252178
Acaexu1.26,Acaexu1,1,17,5862.6,7.358333333,1.708333333,0.081537785,0.4714196,0.552335793
Acaexu1.27,Acaexu1,1,18,5855.691667,6.908333333,1.75,0.080614347,0.476531962,0.556234406
Acaexu1.28,Acaexu1,1,19,5849.025,6.666666667,1.791666667,0.079723213,0.481574766,0.560057953
Acaexu1.29,Acaexu1,1,20,5845.258333,3.766666667,1.833333333,0.079219722,0.48447277,0.562245584
Acaexu1.30,Acaexu1,1,21,5845.075,0.183333333,1.875,0.079195216,0.484614739,0.562352573
Acaexu1.31,Acaexu1,1,22,5844.891667,0.183333333,1.916666667,0.07917071,0.484756793,0.562459611
Acaexu1.32,Acaexu1,1,23,5844.733333,0.158333333,1.958333333,0.079149545,0.484879545,0.56255209
Acaexu1.33,Acaexu1,2,0,5844.608333,0.125,2,0.079132836,0.4849765,0.562625126
Acaexu1.34,Acaexu1,2,1,5844.533333,0.075,2.041666667,0.079122811,0.485034692,0.562668958
Acaexu1.35,Acaexu1,2,2,5844.433333,0.1,2.083333333,0.079109444,0.485112303,0.562727413
Acaexu1.36,Acaexu1,2,3,5844.291667,0.141666667,2.125,0.079090507,0.485222297,0.562810248
Acaexu1.37,Acaexu1,2,4,5844.183333,0.108333333,2.166666667,0.079076027,0.485306444,0.562873613
Acaexu1.38,Acaexu1,2,5,5844.083333,0.1,2.208333333,0.07906266,0.485384145,0.562932118
Acaexu1.39,Acaexu1,2,6,5843.95,0.133333333,2.25,0.079044837,0.485487786,0.563010147
Acaexu1.40,Acaexu1,2,7,5843.733333,0.216666667,2.291666667,0.079015875,0.485656301,0.563136998
Acaexu1.41,Acaexu1,2,8,5841.633333,2.1,2.333333333,0.078735168,0.487295844,0.564369969
Acaexu1.42,Acaexu1,2,9,5835.066667,6.566666667,2.375,0.077857401,0.492496916,0.568266841
Acaexu1.43,Acaexu1,2,10,5827.733333,7.333333333,2.416666667,0.076877153,0.498441833,0.572694667
