UniqueID,Species,FT,Photo_date,Stem_mass,Leaf_mass,Senesced_mass,Seed_mass,Excluded_mass
Pogsqu02,Pogsqu,Grass,9/29/2020,13.3011,3.496,2.719,2.5056,
Pogsqu03,Pogsqu,Grass,9/29/2020,9.7851,3.3232,0.4498,1.7153,
Pogsqu04,Pogsqu,Grass,9/29/2020,8.9224,4.3199,0.7911,1.8477,
Pogsqu05,Pogsqu,Grass,9/29/2020,12.4808,3.8451,3.3309,1.7229,
Perpat01,Perpat,Grass,9/29/2020,7.1831,2.8521,1.3806,0.3034,
Perpat02,Perpat,Grass,9/29/2020,12.1951,5.3137,2.1022,1.7452,
Perpat03,Perpat,Grass,9/29/2020,13.7389,5.5405,1.9181,0.8464,
Perpat04,Perpat,Grass,9/29/2020,3.2616,1.1726,6.0296,0.3083,
Perpat05,Perpat,Grass,9/29/2020,5.1658,2.945,0.3679,0.1167,
Erasup01,Erasup,Grass,9/29/2020,12.4844,8.4452,1.0655,1.1755,
Erasup04,Erasup,Grass,9/29/2020,11.1639,6.2542,0.3504,0.9259,
Erasup05,Erasup,Grass,9/29/2020,6.1548,3.7484,0.9953,0.7401,
Panmax01,Panmax,Grass,9/29/2020,21.8222,4.2982,4.3221,5.4504,
Panmax02,Panmax,Grass,9/29/2020,16.4604,3.0892,3.3966,4.7338,
Panmax03,Panmax,Grass,9/29/2020,21.3446,4.4817,4.9722,5.3619,
Panmax04,Panmax,Grass,9/29/2020,21.7761,5.3169,6.443,5.2448,
Panmax05,Panmax,Grass,9/29/2020,22.3798,4.1063,3.6735,5.9737,
Hypdis02,Hypdis,Grass,9/29/2020,24.8968,9.306,4.2921,1.106,7.279
Hypdis03,Hypdis,Grass,9/29/2020,23.5443,7.6176,2.2548,0.6932,4.8344
Hypdis04,Hypdis,Grass,9/29/2020,17.9126,6.0008,3.6873,2.422,4.9991
Hypdis05,Hypdis,Grass,9/29/2020,13.2433,4.4132,1.5139,0.4624,
Sclbir01,Sclbir,Tree,9/29/2020,4.6797,10.1678,,,
Sclbir02,Sclbir,Tree,9/29/2020,3.5193,9.7603,,,
Sclbir03,Sclbir,Tree,9/29/2020,2.324,5.8276,,,
Sclbir04,Sclbir,Tree,9/29/2020,2.8161,6.6666,0.1224,,
Sclbir05,Sclbir,Tree,9/29/2020,4.459,7.7248,0.3999,,
Sclbir06,Sclbir,Tree,9/29/2020,5.1356,7.6294,1.1795,,
Sclbir07,Sclbir,Tree,9/29/2020,3.2696,6.7327,0.0997,,
Sclbir08,Sclbir,Tree,9/29/2020,3.5486,9.3654,,,
Sclbir09,Sclbir,Tree,9/29/2020,4.929,7.666,0.6986,,
Sclbir10,Sclbir,Tree,9/29/2020,3.6143,7.6315,0.2673,,
Colmop01,Colmop,Tree,9/29/2020,3.5454,5.6661,,,
Colmop02,Colmop,Tree,9/29/2020,1.254,2.86,,,
Colmop03,Colmop,Tree,9/29/2020,2.6058,5.1329,,,
Colmop04,Colmop,Tree,9/29/2020,4.2842,7.1615,,,
Colmop05,Colmop,Tree,9/29/2020,3.4344,4.2576,,,
Colmop06,Colmop,Tree,9/29/2020,2.8054,6.3872,,,
Colmop07,Colmop,Tree,9/29/2020,5.1628,8.291,,,
Colmop08,Colmop,Tree,9/29/2020,3.5048,6.4412,,,
Comapi01,Comapi,Tree,9/29/2020,6.4115,8.2587,0.3353,,
Comapi02,Comapi,Tree,9/29/2020,7.3162,9.8933,0.154,,
Terser01,Terser,Tree,9/29/2020,4.9508,12.9051,,,
Diccin01,Diccin,Tree,9/29/2020,4.9984,8.1708,,,
Diccin02,Diccin,Tree,9/29/2020,4.9478,17.883,,,
Diccin03,Diccin,Tree,9/29/2020,7.4932,13.1136,,,
Diccin04,Diccin,Tree,9/29/2020,6.3688,19.8294,,,
Diccin05,Diccin,Tree,9/29/2020,5.841,14.7316,0.0339,,
Diccin06,Diccin,Tree,9/29/2020,11.3095,13.6965,0.0257,,
Diccin07,Diccin,Tree,9/29/2020,7.5388,17.3998,0.0588,,
Diccin08,Diccin,Tree,9/29/2020,6.5323,15.3987,,,
